transcription_factor,target_gene,regulation_type,confidence,source_papers,note
ZBTB10,Sp1,repression,high,"2(exp);1,5,6(cite)",ChIP无关，过表达质粒+WB(p2)
ZBTB10,Sp3,repression,high,2(exp);5(cite),同上
ZBTB10,Sp4,repression,high,2(exp);5(cite),同上
ZBTB10,PKLR,repression,high,3,ChIP+ZRE，direct transcriptional downregulation(p3)
ZBTB10,ARRDC3,activation,high,7,ChIP-seq+荧光素酶(p7)
ZBTB10,HK1,activation,high,8,ChIP+荧光素酶(p8)
ZBTB10,gastrin,repression,low,1,引用Tillotson/Scott(p1)
AR,ZBTB10,activation,medium,3,androgen-activated/responsive，AR直接结合未证实——判断项(p3)
Sp1,gastrin,activation,low,1,Sp1激活gastrin(p1引用)
Sp1,VEGF,activation,medium,"2(exp);1,5(cite)",Sp家族共调控的Sp-regulated gene(p1/p2/p5)
Sp1,VEGFR1,activation,medium,"2(exp);1,5(cite)",Sp家族共调控的Sp-regulated gene(p1/p2/p5)
Sp1,survivin,activation,medium,"2(exp);1,5(cite)",Sp家族共调控的Sp-regulated gene(p1/p2/p5)
Sp1,VEGFR2,activation,low,"2(exp);1,5(cite)",Sp家族共调控的Sp-regulated gene(p1/p2/p5)
Sp1,cyclin D1,activation,low,"2(exp);1,5(cite)",Sp家族共调控的Sp-regulated gene(p1/p2/p5)
Sp1,c-Met,activation,low,"2(exp);1,5(cite)",Sp家族共调控的Sp-regulated gene(p1/p2/p5)
Sp3,VEGF,activation,medium,"2(exp);1,5(cite)",Sp家族共调控的Sp-regulated gene(p1/p2/p5)
Sp3,VEGFR1,activation,medium,"2(exp);1,5(cite)",Sp家族共调控的Sp-regulated gene(p1/p2/p5)
Sp3,survivin,activation,medium,"2(exp);1,5(cite)",Sp家族共调控的Sp-regulated gene(p1/p2/p5)
Sp3,VEGFR2,activation,low,"2(exp);1,5(cite)",Sp家族共调控的Sp-regulated gene(p1/p2/p5)
Sp3,cyclin D1,activation,low,"2(exp);1,5(cite)",Sp家族共调控的Sp-regulated gene(p1/p2/p5)
Sp3,c-Met,activation,low,"2(exp);1,5(cite)",Sp家族共调控的Sp-regulated gene(p1/p2/p5)
Sp4,VEGF,activation,medium,"2(exp);1,5(cite)",Sp家族共调控的Sp-regulated gene(p1/p2/p5)
Sp4,VEGFR1,activation,medium,"2(exp);1,5(cite)",Sp家族共调控的Sp-regulated gene(p1/p2/p5)
Sp4,survivin,activation,medium,"2(exp);1,5(cite)",Sp家族共调控的Sp-regulated gene(p1/p2/p5)
Sp4,VEGFR2,activation,low,"2(exp);1,5(cite)",Sp家族共调控的Sp-regulated gene(p1/p2/p5)
Sp4,cyclin D1,activation,low,"2(exp);1,5(cite)",Sp家族共调控的Sp-regulated gene(p1/p2/p5)
Sp4,c-Met,activation,low,"2(exp);1,5(cite)",Sp家族共调控的Sp-regulated gene(p1/p2/p5)
